Date,travel_count
2020-09-07,704075.0
2020-09-08,616923.0
2020-09-09,755051.0
2020-09-10,731353.0
2020-09-11,613703.0
2020-09-12,809850.0
2020-09-13,729558.0
2020-09-14,522383.0
2020-09-15,577847.0
2020-09-16,784746.0
2020-09-17,812214.0
2020-09-18,638575.0
2020-09-19,847968.0
2020-09-20,769936.0
2020-09-21,549741.0
2020-09-22,608726.0
2020-09-23,826316.0
2020-09-24,826329.0
2020-09-25,659350.0
2020-09-26,873038.0
2020-09-27,797699.0
2020-09-28,568688.0
2020-09-29,634046.0
2020-09-30,855908.0
2020-10-01,857186.0
2020-10-02,677661.0
2020-10-03,900911.0
2020-10-04,816838.0
2020-10-05,590766.0
2020-10-06,668519.0
2020-10-07,936915.0
2020-10-08,968545.0
2020-10-09,769868.0
2020-10-10,984234.0
2020-10-11,958440.0
2020-10-12,680894.0
2020-10-13,717940.0
2020-10-14,950024.0
2020-10-15,973046.0
2020-10-16,788743.0
2020-10-17,1031505.0
2020-10-18,921031.0
2020-10-19,662484.0
2020-10-20,694150.0
2020-10-21,934386.0
2020-10-22,958437.0
2020-10-23,755287.0
2020-10-24,983745.0
2020-10-25,898735.0
2020-10-26,648517.0
2020-10-27,666957.0
2020-10-28,873636.0
2020-10-29,892712.0
2020-10-30,618476.0
2020-10-31,936092.0
2020-11-01,846138.0
2020-11-02,575829.0
2020-11-03,636533.0
2020-11-04,867105.0
2020-11-05,895091.0
2020-11-06,689951.0
2020-11-07,973020.0
2020-11-08,836600.0
2020-11-09,596475.0
2020-11-10,674633.0
2020-11-11,866679.0
2020-11-12,881579.0
2020-11-13,697360.0
2020-11-14,978297.0
2020-11-15,883157.0
2020-11-16,611497.0
2020-11-17,703135.0
2020-11-18,907332.0
2020-11-19,1019836.0
2020-11-20,984369.0
2020-11-21,1047934.0
2020-11-22,917354.0
2020-11-23,912090.0
2020-11-24,1070967.0
2020-11-25,560902.0
2020-11-26,820399.0
2020-11-27,964630.0
2020-11-28,1176091.0
2020-11-29,981912.0
2020-11-30,780283.0
2020-12-01,632356.0
2020-12-02,738050.0
2020-12-03,753951.0
2020-12-04,629430.0
2020-12-05,837137.0
2020-12-06,703546.0
2020-12-07,501513.0
2020-12-08,564372.0
2020-12-09,754307.0
2020-12-10,787489.0
2020-12-11,662380.0
2020-12-12,865014.0
2020-12-13,752451.0
2020-12-14,552024.0
2020-12-15,641966.0
2020-12-16,846934.0
2020-12-17,1066747.0
2020-12-18,1073563.0
2020-12-19,1064619.0
2020-12-20,954782.0
2020-12-21,992167.0
2020-12-22,1191123.0
2020-12-23,846520.0
2020-12-24,616469.0
2020-12-25,1128773.0
2020-12-26,1284599.0
2020-12-27,1111751.0
2020-12-28,1019347.0
2020-12-29,1163696.0
2020-12-30,874406.0
2020-12-31,805990.0
2021-01-01,1192881.0
2021-01-02,1327289.0
2021-01-03,1080346.0
2021-01-04,766594.0
2021-01-05,665855.0
2021-01-06,771734.0
2021-01-07,772471.0
2021-01-08,709444.0
2021-01-09,886536.0
2021-01-10,708177.0
2021-01-11,520117.0
2021-01-12,567401.0
2021-01-13,803688.0
2021-01-14,903039.0
2021-01-15,690438.0
2021-01-16,810654.0
2021-01-17,878048.0
2021-01-18,560190.0
2021-01-19,542338.0
2021-01-20,728978.0
2021-01-21,755028.0
2021-01-22,603527.0
2021-01-23,838116.0
2021-01-24,701709.0
2021-01-25,468933.0
2021-01-26,536935.0
2021-01-27,750558.0
2021-01-28,774688.0
2021-01-29,617489.0
2021-01-30,859039.0
2021-01-31,628989.0
2021-02-01,493338.0
2021-02-02,618615.0
2021-02-03,778065.0
2021-02-04,868624.0
2021-02-05,705951.0
2021-02-06,854636.0
2021-02-07,864783.0
2021-02-08,617619.0
2021-02-09,735009.0
2021-02-10,1034514.0
2021-02-11,1151420.0
2021-02-12,900696.0
2021-02-13,946458.0
2021-02-14,967693.0
2021-02-15,738825.0
2021-02-16,773422.0
2021-02-17,914823.0
2021-02-18,1059452.0
2021-02-19,942238.0
2021-02-20,1115479.0
2021-02-21,963280.0
2021-02-22,714725.0
2021-02-23,802230.0
