Date,total_cases,total_death,Distributed,travel_count
2021-04-04,45682.0,521.0,426950,1561959.0
2021-04-05,56979.0,439.0,2200,1195306.0
2021-04-06,64199.0,722.0,23200640,1230939.0
2021-04-07,76080.0,827.0,12790050,1510829.0
2021-04-08,76477.0,861.0,10267370,1549181.0
2021-04-09,77564.0,866.0,9430140,1378237.0
2021-04-10,68825.0,748.0,8478180,1561495.0
2021-04-11,54385.0,474.0,165440,1468972.0
2021-04-12,62089.0,554.0,28910,1085034.0
2021-04-13,71924.0,748.0,15584150,1152703.0
2021-04-14,71943.0,822.0,12436690,1491435.0
2021-04-15,73266.0,797.0,10307270,1468218.0
2021-04-16,72245.0,813.0,8444610,1277815.0
2021-04-17,78459.0,638.0,12184470,1572383.0
2021-04-18,50103.0,505.0,513960,1412500.0
2021-04-19,46248.0,488.0,0,1082443.0
2021-04-20,57851.0,740.0,15349280,1164099.0
2021-04-21,64336.0,779.0,12741630,1509649.0
2021-04-22,62914.0,794.0,11697260,1521393.0
2021-04-23,63118.0,847.0,8698420,1259724.0
2021-04-24,52345.0,663.0,9281490,1571220.0
2021-04-25,41492.0,434.0,46730,1369410.0
2021-04-26,39928.0,487.0,0,1077199.0
2021-04-27,50518.0,700.0,14342380,1184326.0
2021-04-28,55352.0,847.0,9661030,1526681.0
2021-04-29,56312.0,768.0,9050770,1558553.0
2021-04-30,55709.0,796.0,7177880,1335535.0
2021-05-01,48694.0,627.0,7556850,1626962.0
2021-05-02,36906.0,506.0,37740,1463672.0
2021-05-03,33274.0,475.0,3200,1134103.0
2021-05-04,42762.0,694.0,12418900,1268938.0
2021-05-05,45195.0,723.0,6516640,1644050.0
2021-05-06,43277.0,672.0,7992720,1703267.0
2021-05-07,44962.0,817.0,5312430,1429657.0
2021-05-08,37109.0,621.0,5515300,1707805.0
2021-05-09,27529.0,412.0,13580,1657722.0
2021-05-10,24657.0,422.0,14400,1315493.0
2021-05-11,33183.0,615.0,9627240,1424664.0
2021-05-12,36136.0,702.0,6379920,1743515.0
2021-05-13,40645.0,590.0,6021150,1716561.0
2021-05-14,35544.0,700.0,5778310,1453267.0
2021-05-15,29797.0,441.0,5420630,1850531.0
2021-05-17,19586.0,383.0,104400,1734541.0
2021-05-18,27876.0,616.0,4499810,1408017.0
2021-05-19,27844.0,611.0,6757290,1496089.0
2021-05-20,28056.0,528.0,7047030,1728496.0
2021-05-21,28141.0,674.0,7163550,1820433.0
2021-05-22,22274.0,402.0,4784310,1550044.0
2021-05-23,15979.0,289.0,36970,1863697.0
2021-05-24,15378.0,570.0,200,1747353.0
2021-05-25,24360.0,506.0,3838110,1470840.0
2021-05-26,23703.0,525.0,2865740,1618169.0
2021-05-27,22227.0,544.0,3576840,1854534.0
2021-05-28,24854.0,708.0,3115340,1959593.0
2021-05-29,15699.0,337.0,7967300,1605810.0
2021-05-30,12375.0,255.0,36230,1650454.0
2021-05-31,9350.0,228.0,-200,1900170.0
2021-06-01,9114.0,338.0,63070,1682752.0
2021-06-02,16303.0,500.0,1879840,1587910.0
2021-06-03,18436.0,477.0,3681270,1815931.0
2021-06-04,18708.0,594.0,2001030,1879885.0
2021-06-05,14714.0,396.0,4774110,1681192.0
2021-06-06,11099.0,430.0,94140,1984658.0
2021-06-07,10008.0,325.0,8190,1828396.0
2021-06-08,14382.0,387.0,1230190,1560561.0
2021-06-09,19769.0,388.0,869850,1669537.0
2021-06-10,16005.0,391.0,879450,1975189.0
2021-06-11,14142.0,400.0,1667720,2028961.0
2021-06-12,12366.0,299.0,2009810,1812797.0
2021-06-13,8765.0,148.0,25740,2097433.0
2021-06-14,8360.0,242.0,60840,1800954.0
2021-06-15,12827.0,312.0,1001520,1678688.0
2021-06-16,13226.0,343.0,992680,1792370.0
2021-06-17,13671.0,278.0,5815695,2039425.0
2021-06-18,11989.0,273.0,1472120,2081115.0
2021-06-19,12378.0,253.0,2196880,1882381.0
2021-06-20,9089.0,216.0,20320,2100761.0
2021-06-21,8718.0,282.0,0,2030577.0
2021-06-22,13440.0,314.0,1176590,1795141.0
2021-06-23,13889.0,338.0,-1074550,1801329.0
2021-06-24,15599.0,316.0,1529330,2085327.0
2021-06-25,15101.0,404.0,1435460,2137584.0
2021-06-26,13247.0,241.0,2439460,1918705.0
2021-06-27,10628.0,176.0,68400,2167380.0
2021-06-28,10605.0,192.0,0,2066964.0
2021-06-29,15700.0,278.0,1123950,1808306.0
2021-06-30,16011.0,246.0,243820,1920663.0
2021-07-01,18713.0,289.0,838740,2147090.0
2021-07-02,16939.0,302.0,712200,2196411.0
2021-07-03,13239.0,153.0,863880,1915017.0
2021-07-04,10487.0,123.0,2360,1681896.0
2021-07-05,9275.0,106.0,0,2160147.0
2021-07-06,20100.0,303.0,13880,1889911.0
2021-07-07,22786.0,254.0,76110,1880160.0
2021-07-08,183852.0,266.0,5640320,2027364.0
2021-07-09,27744.0,312.0,1647000,2147903.0
2021-07-10,20926.0,145.0,1978000,1987652.0
2021-07-11,16720.0,117.0,71140,2198635.0
2021-07-12,29270.0,305.0,280,2093066.0
2021-07-13,35186.0,339.0,636670,1832878.0
2021-07-14,38593.0,341.0,1472275,1900945.0
2021-07-15,40816.0,321.0,1172320,2152053.0
2021-07-16,42494.0,369.0,1653410,2199815.0
2021-07-17,32384.0,179.0,1497490,1979981.0
2021-07-18,28381.0,148.0,-200,2227704.0
2021-07-19,45456.0,287.0,274180,2141429.0
2021-07-20,51233.0,323.0,1728020,1871986.0
2021-07-21,61731.0,397.0,1474270,1934918.0
2021-07-22,72144.0,346.0,2891930,2101343.0
2021-07-23,70087.0,421.0,4088120,2159300.0
2021-07-24,54093.0,245.0,2310720,1942871.0
2021-07-25,43535.0,249.0,210100,2177129.0
2021-07-26,71471.0,423.0,17580,2124474.0
2021-07-27,86307.0,506.0,1297530,1858328.0
2021-07-28,89701.0,493.0,2003790,1923980.0
