Date,Location,Distributed
2022-01-27,MT,2000
2022-01-28,MT,1400
2022-01-29,MT,3200
2022-01-30,MT,0
2022-01-31,MT,0
2022-02-01,MT,1300
2022-02-02,MT,4900
2022-02-03,MT,3800
2022-02-04,MT,1600
2022-02-05,MT,0
2022-02-06,MT,0
2022-02-07,MT,0
2022-02-08,MT,3600
2022-02-09,MT,3500
2022-02-10,MT,2800
2022-02-11,MT,3200
2022-02-12,MT,2300
2022-02-13,MT,0
2022-02-14,MT,0
2022-02-15,MT,400
2022-02-16,MT,1000
2022-02-17,MT,9840
2022-02-18,MT,2900
2022-02-19,MT,1000
2022-02-20,MT,0
2022-02-21,MT,0
2022-02-22,MT,600
2022-02-23,MT,1900
2022-02-24,MT,1900
2022-02-25,MT,1300
2022-02-26,MT,1700
2022-02-27,MT,0
2022-02-28,MT,800
2022-03-01,MT,400
2022-03-02,MT,200
2022-03-03,MT,3600
2022-03-04,MT,300
2022-03-05,MT,3100
2022-03-06,MT,0
2022-03-07,MT,0
2022-03-08,MT,1000
2022-03-09,MT,1000
2022-03-10,MT,2100
2022-03-11,MT,1200
2022-03-12,MT,0
2022-03-13,MT,0
2022-03-14,MT,1700
2022-03-15,MT,200
2022-03-16,MT,1300
2022-03-17,MT,1200
2022-03-18,MT,1700
2022-03-19,MT,0
2022-03-20,MT,0
2022-03-21,MT,0
2022-03-22,MT,0
2022-03-23,MT,2900
2022-03-24,MT,2300
2022-03-25,MT,2200
2022-03-26,MT,1700
2022-03-27,MT,0
2022-03-28,MT,0
2022-03-29,MT,300
2022-03-30,MT,900
2022-03-31,MT,3200
2022-04-01,MT,0
2022-04-02,MT,8000
2022-04-03,MT,0
2022-04-04,MT,0
2022-04-05,MT,4400
2022-04-06,MT,2100
2022-04-07,MT,6000
2022-04-08,MT,3200
2022-04-09,MT,0
2022-04-10,MT,4400
2022-04-11,MT,0
2022-04-12,MT,1600
2022-04-13,MT,0
2022-04-14,MT,1700
2022-04-15,MT,5400
2022-04-16,MT,4700
2022-04-17,MT,0
2022-04-18,MT,0
2022-04-19,MT,400
2022-04-20,MT,800
2022-04-21,MT,6900
2022-04-22,MT,1900
2022-04-23,MT,4700
2022-04-24,MT,0
2022-04-25,MT,0
2022-04-26,MT,1600
2022-04-27,MT,2100
2022-04-28,MT,1600
2022-04-29,MT,6800
2022-04-30,MT,2000
2022-05-01,MT,0
2022-05-02,MT,0
2022-05-03,MT,2600
2022-05-04,MT,2000
2022-05-05,MT,2900
2022-05-06,MT,2600
2022-05-07,MT,2700
2022-05-08,MT,600
2022-05-09,MT,0
2022-05-10,MT,1100
2022-05-11,MT,400
2022-05-12,MT,2300
2022-05-13,MT,2700
2022-05-14,MT,1700
