Date,Location,Distributed
2021-07-07,MN,0
2021-07-08,MN,38250
2021-07-09,MN,7200
2021-07-10,MN,7340
2021-07-11,MN,0
2021-07-12,MN,0
2021-07-13,MN,7470
2021-07-14,MN,5080
2021-07-15,MN,2800
2021-07-16,MN,6370
2021-07-17,MN,9800
2021-07-18,MN,0
2021-07-19,MN,900
2021-07-20,MN,7100
2021-07-21,MN,4690
2021-07-22,MN,10590
2021-07-23,MN,20470
2021-07-24,MN,11960
2021-07-25,MN,0
2021-07-26,MN,0
2021-07-27,MN,9100
2021-07-28,MN,3570
2021-07-29,MN,15640
2021-07-30,MN,13240
2021-07-31,MN,12010
2021-08-01,MN,0
2021-08-02,MN,0
2021-08-03,MN,420
2021-08-04,MN,9660
2021-08-05,MN,15260
2021-08-06,MN,21540
2021-08-07,MN,16810
2021-08-08,MN,-100
2021-08-09,MN,100
2021-08-10,MN,16050
2021-08-11,MN,17530
2021-08-12,MN,14330
2021-08-13,MN,51900
2021-08-14,MN,7630
2021-08-15,MN,0
2021-08-16,MN,0
2021-08-17,MN,44660
2021-08-18,MN,43860
2021-08-19,MN,69490
2021-08-20,MN,66330
2021-08-21,MN,27020
2021-08-22,MN,-560
2021-08-23,MN,0
2021-08-24,MN,0
2021-08-25,MN,9060
2021-08-26,MN,37980
2021-08-27,MN,66320
2021-08-28,MN,22360
2021-08-29,MN,3780
2021-08-30,MN,-140
2021-08-31,MN,19700
2021-09-01,MN,24640
2021-09-02,MN,22150
2021-09-03,MN,47130
2021-09-04,MN,40910
2021-09-05,MN,-100
2021-09-06,MN,0
2021-09-07,MN,0
2021-09-08,MN,7020
2021-09-09,MN,23980
2021-09-10,MN,13920
2021-09-11,MN,32410
2021-09-12,MN,0
2021-09-13,MN,0
2021-09-14,MN,12270
2021-09-15,MN,32460
2021-09-16,MN,17410
2021-09-17,MN,24340
2021-09-18,MN,35450
2021-09-19,MN,0
2021-09-20,MN,0
2021-09-21,MN,11590
2021-09-22,MN,12590
2021-09-23,MN,20510
2021-09-24,MN,9860
